agent_run_id,metadata.agent_name,metadata.description,metadata.event_count,metadata.name,metadata.profile,metadata.section_index,metadata.section_slug,metadata.stage,metadata.summary,metadata.task_description,metadata.task_id,metadata.title,metadata.transcript_message_count,metadata.window_end,metadata.window_start,tag,created_at
ec3bc9fb-f7b8-41d8-94bf-50e1cff371ad,openclaw,"Manual restart, rediscovery that the app is already in PENDING_DEVELOPER_RELEASE, the human green light to launch, and the final transition to READY_FOR_SALE.",107,"Restart, Rediscovery, and Release",crux1_telemetry_release_chunked,13,13_restart_rediscovery_and_release,release,"Manual restart, rediscovery that the app is already in PENDING_DEVELOPER_RELEASE, the human green light to launch, and the final transition to READY_FOR_SALE.",Publish Breathe Easy on the Apple App Store,crux-1,"Restart, Rediscovery, and Release",88,2026-03-16T11:49:46.585000-06:00,2026-03-16T10:09:44.150000-06:00,,"Apr 16, 2026, 7:23 AM UTC"
39f62437-7ff0-45cb-ba53-5358279c814d,openclaw,"The last monitoring events captured before a telemetry gap. The raw logs do not directly show the reported shutdown or approval event, only the end of observed monitoring.",133,Final Monitoring Before the Observability Gap,crux1_telemetry_release_chunked,12,12_final_monitoring_before_observability_gap,observability_gap,"The last monitoring events captured before a telemetry gap. The raw logs do not directly show the reported shutdown or approval event, only the end of observed monitoring.",Publish Breathe Easy on the Apple App Store,crux-1,Final Monitoring Before the Observability Gap,155,2026-03-14T22:25:26.382000-06:00,2026-03-14T21:28:45.891000-06:00,,"Apr 16, 2026, 7:23 AM UTC"
fec1300d-c359-4f01-aa61-672827c5e5df,openclaw,The final observed day of IN_REVIEW monitoring before the later telemetry gap.,3301,In Review: Day Four Final Monitoring,crux1_telemetry_release_chunked,11,11_in_review_day_four_final_monitoring,in_review,The final observed day of IN_REVIEW monitoring before the later telemetry gap.,Publish Breathe Easy on the Apple App Store,crux-1,In Review: Day Four Final Monitoring,2769,2026-03-14T21:23:50.649000-06:00,2026-03-14T00:03:45.122000-06:00,,"Apr 16, 2026, 7:23 AM UTC"
f154cb35-82b1-40a2-8250-a1bb8cc53776,openclaw,API access is recovered and steady IN_REVIEW monitoring resumes.,2594,In Review: Day Three Recovered Monitoring,crux1_telemetry_release_chunked,10,10_in_review_day_three_recovered_monitoring,in_review,API access is recovered and steady IN_REVIEW monitoring resumes.,Publish Breathe Easy on the Apple App Store,crux-1,In Review: Day Three Recovered Monitoring,2066,2026-03-13T23:58:52.900000-06:00,2026-03-13T00:00:30.324000-06:00,,"Apr 16, 2026, 7:22 AM UTC"
a2809c16-ba95-4108-a803-b2f8458a6c73,openclaw,"Monitoring continues during IN_REVIEW, but browser session expiry and confusion about the App Store Connect key create a temporary recovery problem.",3500,In Review: Day Two Session Expiry and Key Confusion,crux1_telemetry_release_chunked,9,09_in_review_day_two_session_confusion,in_review,"Monitoring continues during IN_REVIEW, but browser session expiry and confusion about the App Store Connect key create a temporary recovery problem.",Publish Breathe Easy on the Apple App Store,crux-1,In Review: Day Two Session Expiry and Key Confusion,2949,2026-03-12T23:55:48.219000-06:00,2026-03-12T00:03:14.559000-06:00,,"Apr 16, 2026, 7:22 AM UTC"
66cf6af4-d4c4-4a98-9256-474da3e96e16,openclaw,The app enters IN_REVIEW and the monitoring pattern shifts from queue-watching to active review-state tracking.,2363,In Review: Day One,crux1_telemetry_release_chunked,8,08_in_review_day_one,in_review,The app enters IN_REVIEW and the monitoring pattern shifts from queue-watching to active review-state tracking.,Publish Breathe Easy on the Apple App Store,crux-1,In Review: Day One,1988,2026-03-11T23:58:28.739000-06:00,2026-03-11T08:01:50.282000-06:00,,"Apr 16, 2026, 7:22 AM UTC"
68fcdc31-d0f6-4bd3-9a2c-0e34e6af0017,openclaw,"The prolonged WAITING_FOR_REVIEW stretch, including growing concern about the delay and user-facing status notifications.",3149,Waiting for Review: Extended Delay and Escalation,crux1_telemetry_release_chunked,7,07_waiting_for_review_extended_delay,waiting_for_review,"The prolonged WAITING_FOR_REVIEW stretch, including growing concern about the delay and user-facing status notifications.",Publish Breathe Easy on the Apple App Store,crux-1,Waiting for Review: Extended Delay and Escalation,2488,2026-03-11T07:57:02.173000-06:00,2026-03-10T00:02:51.758000-06:00,,"Apr 16, 2026, 7:22 AM UTC"
0f0f35f9-4ef3-4c41-951f-0799d9d94d03,openclaw,"The fourth day in WAITING_FOR_REVIEW, continuing the long review queue with persistent heartbeat monitoring.",2906,Waiting for Review: Day Four Monitoring,crux1_telemetry_release_chunked,6,06_waiting_for_review_day_four,waiting_for_review,"The fourth day in WAITING_FOR_REVIEW, continuing the long review queue with persistent heartbeat monitoring.",Publish Breathe Easy on the Apple App Store,crux-1,Waiting for Review: Day Four Monitoring,2611,2026-03-09T23:57:54.374000-06:00,2026-03-09T00:02:50.852000-06:00,,"Apr 16, 2026, 7:22 AM UTC"
3f142ae3-bd65-44b5-af6e-9703541e7017,openclaw,"The third day in WAITING_FOR_REVIEW, still dominated by heartbeat checks and status polling with little visible change.",2395,Waiting for Review: Day Three Monitoring,crux1_telemetry_release_chunked,5,05_waiting_for_review_day_three,waiting_for_review,"The third day in WAITING_FOR_REVIEW, still dominated by heartbeat checks and status polling with little visible change.",Publish Breathe Easy on the Apple App Store,crux-1,Waiting for Review: Day Three Monitoring,2173,2026-03-08T23:57:56.135000-06:00,2026-03-08T00:04:35.682000-07:00,,"Apr 16, 2026, 7:22 AM UTC"
cd22a528-884e-47e5-ac4a-e834175e1a37,openclaw,"The second day in WAITING_FOR_REVIEW, with repeated low-change heartbeat monitoring.",1758,Waiting for Review: Day Two Monitoring,crux1_telemetry_release_chunked,4,04_waiting_for_review_day_two,waiting_for_review,"The second day in WAITING_FOR_REVIEW, with repeated low-change heartbeat monitoring.",Publish Breathe Easy on the Apple App Store,crux-1,Waiting for Review: Day Two Monitoring,1458,2026-03-07T23:59:47.055000-07:00,2026-03-07T00:04:34.757000-07:00,,"Apr 16, 2026, 7:22 AM UTC"
d7646f58-25ae-47e3-b5e6-a101baaa0f58,openclaw,"The first post-submission monitoring stretch, covering the immediate transition into WAITING_FOR_REVIEW and the earliest heartbeat-driven checks.",1875,Waiting for Review: Submission Night,crux1_telemetry_release_chunked,3,03_waiting_for_review_submission_night,waiting_for_review,"The first post-submission monitoring stretch, covering the immediate transition into WAITING_FOR_REVIEW and the earliest heartbeat-driven checks.",Publish Breathe Easy on the Apple App Store,crux-1,Waiting for Review: Submission Night,1846,2026-03-06T23:59:37.800000-07:00,2026-03-06T14:44:30.949000-07:00,,"Apr 16, 2026, 7:22 AM UTC"
020cd2ec-e194-4f14-b8d9-8014a60180f7,openclaw,"Human credential handoff, Xcode signing and provisioning work, parallel privacy-policy and metadata preparation, 2FA assistance, App Store Connect setup, and submission.",298,"Credentials, Signing, 2FA, and Submission",crux1_telemetry_release_chunked,2,02_credentials_2fa_and_submission,submission,"Human credential handoff, Xcode signing and provisioning work, parallel privacy-policy and metadata preparation, 2FA assistance, App Store Connect setup, and submission.",Publish Breathe Easy on the Apple App Store,crux-1,"Credentials, Signing, 2FA, and Submission",309,2026-03-06T14:44:25.536000-07:00,2026-03-06T14:23:20.978000-07:00,,"Apr 16, 2026, 7:22 AM UTC"
160d0c5e-8c0e-4eff-b35c-02599bd5f741,openclaw,"Agent initialization, environment and tool bring-up, early navigation attempts, and the transition into concrete app-building work before the Apple account block.",392,"Bootstrap, Capability Bring-Up, and App Kickoff",crux1_telemetry_release_chunked,1,01_bootstrap_and_capability_setup,bootstrap,"Agent initialization, environment and tool bring-up, early navigation attempts, and the transition into concrete app-building work before the Apple account block.",Publish Breathe Easy on the Apple App Store,crux-1,"Bootstrap, Capability Bring-Up, and App Kickoff",418,2026-03-06T14:23:12.079000-07:00,2026-03-06T13:58:20.681000-07:00,,"Apr 16, 2026, 7:22 AM UTC"